,Weights_Gry,Weights_Sly,Weights_Rav,Weights_Huf
0,0.05258004375025169,0.15406266587129394,-1.0674266796025014,-0.2750784662233994
1,1.1128880329133042,-1.625909527887777,-3.0907744368064183,2.323918747477351
2,-1.75686039115415,-1.9575180770118514,1.1012193873003089,2.380986881417612
3,-0.950865475442657,1.977698982495052,1.103768662714551,-3.0352541144445073
4,0.7147839934015061,-2.966964743964265,0.4177657314115326,0.938071208370717
5,-0.4584423942184492,-0.9300154179829508,2.6384186943882986,-1.582346590588852
6,1.7880833340004445,-1.3498370974406244,1.7327391501346598,-3.003683599208305
7,-2.255698044204734,0.6774332872047607,-0.41960714633693824,1.3261889372581412
8,-2.4355010800055865,0.8605341596286122,-0.4801462643825648,1.309559001553365
9,-0.7614968849732985,1.5376923585705953,-0.8834365524895047,-0.9651520288793545
10,-0.024781772904336783,0.14382362649851996,-0.7642140699010913,-0.23222126749314811
11,-1.3128931080181074,-1.3741138875441388,2.6554859687011247,-0.1674221441184251
12,2.302418335679484,-1.1044928515399788,-1.041648070175452,-1.4922321905629221
13,0.1620225574706463,0.3517894546072787,-1.987005774091862,-0.7113353669671525
